match_id,distance_to_goal,shot_angle_rad,keeper_pressure_ratio,nearest_defender_distance,blocker_count,defenders_count,under_pressure,is_goal,body_part_Left Foot,body_part_Other,body_part_Right Foot,play_pattern_From Counter,play_pattern_From Free Kick,play_pattern_From Goal Kick,play_pattern_From Keeper,play_pattern_From Kick Off,play_pattern_From Throw In,play_pattern_Regular Play,active_shot_type
3753986,3.9698866482558377,1.5823342763123576,1.0834472151518528,2.5709920264364885,0,8,0,1,0,0,0,0,0,0,0,0,1,0,1
3753986,9.767292357659828,0.6275970664836399,0.802772971919486,0.7280109889280554,0,10,1,0,0,0,0,0,1,0,0,0,0,0,1
3753986,36.91679834438518,0.2032641291426448,0.9024512809905012,11.810588469674151,2,10,0,0,1,0,0,0,1,0,0,0,0,0,1
3753986,29.696632805757627,0.2418539792389728,0.9088010411212328,2.024845673131663,1,8,0,0,1,0,0,0,0,0,0,0,0,1,1
3753986,40.742729412743074,0.1762572311351664,0.9121518846231572,4.237924020083415,0,8,0,0,0,0,1,0,0,0,0,0,0,1,1
3753986,17.819371481620784,0.3833278563317723,0.8308979835543795,2.0248456731316615,2,5,0,0,1,0,0,0,0,0,0,0,0,1,1
3753986,21.783020910791965,0.3122332835062333,0.8408936989035162,2.022374841615668,0,9,0,0,0,0,1,0,0,0,0,0,0,1,1
3753986,20.974508337503412,0.3559266516875323,0.9124246871992512,4.770744176750622,1,10,0,0,1,0,0,0,1,0,0,0,0,0,1
3753986,4.904079934095697,1.3682550147645898,0.7163083924523794,2.34093998214392,0,9,0,1,0,0,0,0,0,0,0,0,0,0,1
3753986,9.577055915050307,0.7258548617619164,0.7231907059751926,1.2165525060596332,0,10,0,0,0,0,0,0,1,0,0,0,0,0,1
3753986,15.147607071745682,0.514999173646986,0.873447943299152,1.2529964086141716,0,8,0,0,0,0,1,0,0,0,0,0,1,0,1
3753986,19.722575896672325,0.18448338009998,0.8219725362361535,3.3241540277189343,0,8,0,0,0,0,1,0,0,0,0,0,0,1,1
3753986,9.377632963600146,0.7688672403763074,0.870119025472883,1.8027756377319977,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1
3753986,7.35391052434009,0.9600703624056884,1.062053943960314,3.0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,1
3753986,26.922852746319435,0.136829383517373,0.9772324026040576,1.4142135623730951,0,8,0,1,0,0,1,0,0,0,0,0,0,1,1
3753986,28.73830196793123,0.2725859301702833,0.9500090970007178,4.134005321718878,2,8,0,0,1,0,0,0,0,0,0,0,0,1,1
3753986,31.888869531546582,0.225492327137502,0.9129750564136964,1.252996408614172,0,6,0,0,1,0,0,0,0,1,0,0,0,0,1
3753986,23.492339176846563,0.3347426274239823,0.8632828082686055,4.401136216933077,1,6,0,0,1,0,0,0,0,0,0,0,0,1,1
3753986,19.636700333813717,0.4012287990048488,0.7659270140629392,3.2280024783137904,0,6,0,0,0,0,1,0,0,0,0,0,0,1,1
3753986,19.197135202941084,0.3936122456781269,0.8631733569248752,0.9055385138137476,1,7,0,0,0,0,1,0,0,0,0,0,0,1,1
3754011,22.294842452908252,0.3433794449324844,0.9084008640037556,2.2472205054244236,0,7,1,0,0,0,1,0,0,0,0,0,0,1,1
3754011,9.897979591815702,0.7423503958142575,0.5906626032783043,2.109502310972893,0,6,0,0,1,0,0,0,0,0,0,0,0,1,1
3754011,8.005623023850173,0.9263958253343348,0.6763739102054548,3.720215047547653,0,6,0,1,0,0,1,0,0,0,0,0,0,1,1
3754011,15.768639763784313,0.4923636582957569,0.7527414872529686,1.2727922061357784,0,6,0,0,0,0,1,0,0,0,0,0,0,1,1
3754011,20.09601950635997,0.3894977854099403,0.887604653295703,2.2022715545545273,0,7,0,0,0,0,1,0,0,1,0,0,0,0,1
3754011,20.424739900424687,0.377778622234264,0.8661672489713209,3.534119409414461,0,9,0,0,0,0,1,0,1,0,0,0,0,0,1
3754011,15.401947928752383,0.4424169714717776,0.7635188042907146,0.7211102550927924,1,8,1,0,0,0,0,0,0,0,0,0,0,1,1
3754011,8.780091115700339,0.8388756718795763,0.7572026266959273,2.5806975801127834,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1
